name,geometry_type,amenity,shop,building,railway,highway,office,leisure,tourism,historic
三軒茶屋,Point,,,,stop,,,,,
三軒茶屋,Point,,,,,,,,,
三軒茶屋,Point,,,,stop,,,,,
三軒茶屋銀座,Point,,,,,bus_stop,,,,
三軒茶屋銀座,Point,,,,,bus_stop,,,,
三軒茶屋,Point,,,,,bus_stop,,,,
三軒茶屋小学校,Point,,,,,traffic_signals,,,,
三軒茶屋,Point,,,,,,,,,
日本ナザレン教団 三軒茶屋教会,Point,place_of_worship,,,,,,,,
三軒茶屋,Point,,,,,bus_stop,,,,
三軒茶屋,Point,,,,,motorway_junction,,,,
三軒茶屋保育園,Point,kindergarten,,,,,,,,
三軒茶屋幼稚園,Point,kindergarten,,,,,,,,
三軒茶屋駅前郵便局,Point,post_office,,,,,,,,
世田谷警察署三軒茶屋交番,Point,police,,,,,,,,
大坪会三軒茶屋病院,Point,hospital,,,,,,,,
世田谷区三軒茶屋在宅介護支援センター,Point,social_facility,,,,,,,,
三軒茶屋保育園,Point,kindergarten,,,,,,,,
三軒茶屋北サイクルポート,Point,bicycle_rental,,,,,,,,
三軒茶屋,Point,,,,,bus_stop,,,,
三軒茶屋,Point,,,,,,,,,
三軒茶屋出入口,Point,,,,,motorway_junction,,,,
三軒茶屋駅,Point,,,,,bus_stop,,,,
三軒茶屋,Point,,,,,bus_stop,,,,
三軒茶屋,Point,,,,,bus_stop,,,,
三軒茶屋中央駐輪場,Point,bicycle_parking,,,,,,,,
三軒茶屋中央レンタサイクルポート,Point,bicycle_rental,,,,,,,,
三軒茶屋,Point,,,,,bus_stop,,,,
三軒茶屋,Point,,,,,bus_stop,,,,
三軒茶屋北第三,Point,bicycle_parking,,,,,,,,
西友三軒茶屋店駐輪場Ⅱ,Point,bicycle_parking,,,,,,,,
三軒茶屋二丁目駐輪場,Point,bicycle_parking,,,,,,,,
図書館カウンター三軒茶屋,Point,library,,,,,,,,
デイサービスセンターなごやか三軒茶屋,Point,social_facility,,,,,,,,
世田谷区役所 三軒茶屋分庁舎,Point,,,,,,government,,,
三軒茶屋診療所,Point,doctors,,,,,,,,
三軒茶屋内科クリニック,Point,doctors,,,,,,,,
三軒茶屋,Point,,,,station,,,,,
三軒茶屋,Point,,,,station,,,,,
三軒茶屋,Point,,,,stop,,,,,
三軒茶屋二丁目,Point,,,,,,,,,
三軒茶屋一丁目,Point,,,,,,,,,
鶏ジロー 三軒茶屋店,Point,restaurant,,,,,,,,
さいとうビル(三軒茶屋駅付近),Point,bicycle_rental,,,,,,,,
ルネサンスコート三軒茶屋カルム駐輪場,Point,bicycle_rental,,,,,,,,
ファミリーマート 三軒茶屋駅前店,Point,bicycle_rental,,,,,,,,
アピス三軒茶屋,Point,bicycle_rental,,,,,,,,
セブンイレブン 世田谷三軒茶屋2丁目店,Point,bicycle_rental,,,,,,,,
三軒茶屋歯科,Point,dentist,,,,,,,,
三軒茶屋観光案内所 SANCHA3,Point,,,,,,,,information,
武蔵野うどん じんこ 三軒茶屋店,Point,restaurant,,,,,,,,
ARKMARK三軒茶屋,Point,bicycle_rental,,,,,,,,
Address 三軒茶屋,Point,,hairdresser,,,,,,,
三軒茶屋薬局,Point,pharmacy,,,,,,,,
三軒茶屋,Point,,,,,bus_stop,,,,
ロアール三軒茶屋,Point,bicycle_rental,,,,,,,,
炭火焼肉モツ刺し 肉人（ニクンチュ）三軒茶屋店,Point,restaurant,,,,,,,,
三軒茶屋公園,Polygon,,,,,,,park,,
ゆうらく通り（三軒茶屋３番街）,LineString,,,,,pedestrian,,,,
ゆうらく通り（三軒茶屋４番街）,LineString,,,,,pedestrian,,,,
エコー仲見世（三軒茶屋２番街）,LineString,,,,,pedestrian,,,,
エコー仲見世（三軒茶屋１番街）,LineString,,,,,pedestrian,,,,
世田谷区立 三軒茶屋小学校,Polygon,school,,,,,,,,
ルミナスコート三軒茶屋,Polygon,,,apartments,,,,,,
ティアラ三軒茶屋,Polygon,,,apartments,,,,,,
ワールドパレス三軒茶屋,Polygon,,,apartments,,,,,,
モナーク三軒茶屋,Polygon,,,apartments,,,,,,
三軒茶屋シティハウス,Polygon,,,apartments,,,,,,
メインステージ三軒茶屋,Polygon,,,apartments,,,,,,
サウンドスタジオ ノア 三軒茶屋店 (Sound Studio NOAH),Polygon,,,yes,,,,,,
三軒茶屋入口,LineString,,,,,motorway_link,,,,
三軒茶屋入口,LineString,,,,,motorway_link,,,,
三軒茶屋出口,LineString,,,,,motorway_link,,,,
三軒茶屋入口,LineString,,,,,motorway_link,,,,
三軒茶屋出口,LineString,,,,,motorway_link,,,,
三軒茶屋出口,LineString,,,,,motorway_link,,,,
三軒茶屋入口,LineString,,,,,motorway_link,,,,
茶沢通り;三軒茶屋,LineString,,,,,tertiary,,,,
三軒茶屋オリンピックマンション,Polygon,,,apartments,,,,,,
三軒茶屋,Polygon,,,,platform,,,,,
ＮＴＴ三軒茶屋社宅１号棟,Polygon,,,yes,,,,,,
鮨・酒・肴 杉玉 三軒茶屋,Polygon,restaurant,,yes,,,,,,
大衆焼肉居酒屋 にくにくシゲル三軒茶屋,Polygon,restaurant,,yes,,,,,,
グランドメゾン三軒茶屋,Polygon,,,yes,,,,,,
ローヤルマンション三軒茶屋,Polygon,,,apartments,,,,,,
三軒茶屋西駐輪場,Polygon,bicycle_parking,,,,,,,,
フルベジ 三軒茶屋村,Polygon,,greengrocer,yes,,,,,,
内閣府三軒茶屋宿舎,Polygon,,,yes,,,,,,
プロムナード三軒茶屋,Polygon,,,yes,,,,,,
ルーブル三軒茶屋,Polygon,,,yes,,,,,,
三軒茶屋寮,Polygon,,,yes,,,,,,
ワコーレ三軒茶屋２,Polygon,,,yes,,,,,,
日本大学　三軒茶屋キャンパス,Polygon,,,university,,,,,,
三軒茶屋二丁目公園,Polygon,,,,,,,park,,
三軒茶屋スカイハイツ,Polygon,,,apartments,,,,,,
howff relax 三軒茶屋,Polygon,,,apartments,,,,,,
ルナ三軒茶屋,Polygon,,,apartments,,,,,,
パークハウス三軒茶屋,Polygon,,,apartments,,,,,,
三軒茶屋職員宿舎,Polygon,,,apartments,,,,,,
クレセント三軒茶屋,Polygon,,,apartments,,,,,,
コーシャハイム三軒茶屋2号棟,Polygon,,,apartments,,,,,,
シェア畑 三軒茶屋,Polygon,,,,,,,,,
菱和パレス三軒茶屋,Polygon,,,apartments,,,,,,
コーシャハイム三軒茶屋1号棟,Polygon,,,apartments,,,,,,
三軒茶屋ふれあい広場,Polygon,,,,,,,,,
ハイレーゼ三軒茶屋,Polygon,,,apartments,,,,,,
三軒茶屋,LineString,,,,platform,,,,,
三軒茶屋,LineString,,,,platform,,,,,
三軒茶屋,Polygon,,,,platform,,,,,
三軒茶屋出口,LineString,,,,,motorway_link,,,,
世田谷通り;三軒茶屋,LineString,,,,,primary,,,,
茶沢通り;三軒茶屋,LineString,,,,,tertiary,,,,
玉川通り;三軒茶屋,LineString,,,,,trunk,,,,
茶沢通り;三軒茶屋,LineString,,,,,tertiary_link,,,,
玉川通り;三軒茶屋,LineString,,,,,trunk,,,,
玉川通り;三軒茶屋,LineString,,,,,trunk,,,,
玉川通り;三軒茶屋,LineString,,,,,trunk,,,,
ソレイユ三軒茶屋,Polygon,,,yes,,,,,,
リテラス三軒茶屋ノース,Polygon,,,apartments,,,,,,
三軒茶屋一丁目,Polygon,,,,,,,,,
三軒茶屋二丁目,Polygon,,,,,,,,,
三軒茶屋,Polygon,,,,,,,,,
